State,U_M,U_F,U_Total,G_M,G_F,G_Total,Total
Alabama,71,31,102,91,18,109,211
Alaska,3,2,5,2,2,4,9
Arizona,36,11,47,48,14,62,109
Arkansas,11,6,17,15,3,18,35
California,193,83,276,393,85,478,754
Colorado,33,31,64,49,12,61,125
Connecticut,66,28,94,41,9,50,144
Delaware,14,12,26,9,1,10,36
District of Columbia,11,1,12,23,6,29,41
Florida,453,205,658,266,74,340,998
Georgia,"5,702","3,343","9,045","1,343",503,"1,846","10,891"
Hawaii,2,1,3,7,3,10,13
Idaho,4,2,6,9,0,9,15
Illinois,102,64,166,99,18,117,283
Indiana,13,5,18,30,5,35,53
Iowa,5,1,6,20,1,21,27
Kansas,10,3,13,26,1,27,40
Kentucky,36,15,51,37,7,44,95
Louisiana,24,24,48,37,5,42,90
Maine,10,2,12,9,4,13,25
Maryland,125,87,212,92,27,119,331
Massachusetts,92,45,137,118,25,143,280
Michigan,12,15,27,76,10,86,113
Minnesota,23,8,31,22,8,30,61
Mississippi,12,5,17,15,3,18,35
Missouri,41,12,53,44,10,54,107
Montana,0,0,0,6,1,7,7
Nebraska,11,1,12,6,0,6,18
Nevada,7,4,11,17,5,22,33
New Hampshire,20,9,29,17,5,22,51
New Jersey,194,96,290,121,29,150,440
New Mexico,1,5,6,34,7,41,47
New York,156,66,222,189,52,241,463
North Carolina,183,94,277,119,24,143,420
North Dakota,2,2,4,3,0,3,7
Ohio,80,29,109,75,18,93,202
Oklahoma,10,2,12,14,4,18,30
Oregon,18,9,27,32,7,39,66
Pennsylvania,142,75,217,123,38,161,378
Rhode Island,5,2,7,12,3,15,22
South Carolina,75,33,108,76,21,97,205
South Dakota,1,2,3,3,0,3,6
Tennessee,113,63,176,99,22,121,297
Texas,166,110,276,268,64,332,608
Utah,1,1,2,45,4,49,51
Vermont,9,3,12,2,3,5,17
Virginia,158,100,258,147,39,186,444
Washington,30,14,44,95,14,109,153
West Virginia,2,4,6,6,4,10,16
Wisconsin,17,11,28,37,8,45,73
Wyoming,1,1,2,2,0,2,4
Guam,3,1,4,0,0,0,4
Puerto Rico,32,10,42,18,9,27,69
U.S. Virgin Islands,1,1,2,0,1,1,3
