State                   GT Pop    US Pop    GT Percent    US Percent  Difference
--------------------  --------  --------  ------------  ------------  ------------
Georgia                   9045  10310371   0.678443      0.0315473    64%
New Jersey                 290   8944469   0.0217522     0.027368     0%
Virginia                   258   8411808   0.0193519     0.0257382    0%
Tennessee                  176   6651194   0.0132013     0.0203511    0%
Maryland                   212   6016447   0.0159016     0.0184089    0%
South Carolina             108   4961119   0.00810081    0.0151799    0%
Alabama                    102   4863300   0.00765077    0.0148806    0%
Kentucky                    51   4436974   0.00382538    0.0135761    0%
Connecticut                 94   3576452   0.00705071    0.0109431    0%
Puerto Rico                 42   3411307   0.00315032    0.0104378    0%
Iowa                         6   3134693   0.000450045   0.00959142   0%
Utah                         2   3051217   0.000150015   0.00933601   0%
Mississippi                 17   2988726   0.00127513    0.0091448    0%
Arkansas                    17   2988248   0.00127513    0.00914334   0%
Nevada                      11   2940058   0.000825083   0.00899589   0%
Kansas                      13   2907289   0.000975098   0.00889562   0%
New Mexico                   6   2081015   0.000450045   0.00636742   0%
Nebraska                    12   1907116   0.00090009    0.00583533   0%
West Virginia                6   1831102   0.000450045   0.00560274   0%
Idaho                        6   1683140   0.000450045   0.00515001   0%
Hawaii                       3   1428557   0.000225023   0.00437105   0%
New Hampshire               29   1334795   0.00217522    0.00408416   0%
Maine                       12   1331479   0.00090009    0.00407401   0%
Rhode Island                 7   1056426   0.000525053   0.00323242   0%
Montana                      0   1042520   0             0.00318987   0%
Delaware                    26    952065   0.0019502     0.0029131    0%
South Dakota                 3    865454   0.000225023   0.00264809   0%
North Dakota                 4    757952   0.00030003    0.00231916   0%
Alaska                       5    741894   0.000375038   0.00227002   0%
District of Columbia        12    681170   0.00090009    0.00208422   0%
Vermont                     12    624594   0.00090009    0.00191111   0%
Wyoming                      2    585501   0.000150015   0.0017915    0%
Guam                         4    161785   0.00030003    0.000495024  0%
U.S. Virgin Islands          2    103574   0.000150015   0.000316912  0%
Florida                    658  20612439   0.0493549     0.0630692    -1%
North Carolina             277  10146788   0.0207771     0.0310468    -1%
Washington                  44   7288000   0.00330033    0.0222996    -1%
Arizona                     47   6931071   0.00352535    0.0212075    -1%
Massachusetts              137   6811779   0.010276      0.0208424    -1%
Indiana                     18   6633053   0.00135014    0.0202956    -1%
Missouri                    53   6093000   0.0039754     0.0186431    -1%
Wisconsin                   28   5778708   0.00210021    0.0176815    -1%
Colorado                    64   5540545   0.00480048    0.0169528    -1%
Minnesota                   31   5519952   0.00232523    0.0168898    -1%
Louisiana                   48   4681666   0.00360036    0.0143248    -1%
Oregon                      27   4093465   0.0020252     0.012525     -1%
Oklahoma                    12   3923561   0.00090009    0.0120052    -1%
Pennsylvania               217  12802503   0.0162766     0.0391727    -2%
Illinois                   166  12801539   0.0124512     0.0391697    -2%
Ohio                       109  11614373   0.00817582    0.0355373    -2%
Michigan                    27   9928301   0.0020252     0.0303783    -2%
New York                   222  19745289   0.0166517     0.0604159    -4%
Texas                      276  27862596   0.0207021     0.085253     -6%
California                 276  39250017   0.0207021     0.120096     -9%
